Family,BiLSTM,Bilbo,CNN,DomURLs-BERT,LA_Bin07,Logit,ModernBERT
alureon,0.942467494915078,0.9540037126911636,0.954453377541953,0.9738890894680056,0.9658269413776114,0.9636682684968404,0.9812367894318464
bamital,0.9711197226939292,0.973912955890472,0.9789425607888608,0.9840953532284088,0.9849857915545982,0.9821668895352392,0.9869717141287562
banjori,0.584808363817522,0.8983432879233039,0.7265706671189598,0.8887667667826528,0.9726777925024408,0.9821668895352392,0.983585104879596
bedep,0.9657139192779082,0.9664509791063394,0.9731971391665372,0.9810594224127878,0.9805973021821506,0.97744300130199,0.9859624378581016
charbot,0.4339574719480598,0.6597577230215514,0.6120110088053199,0.6195514034537112,0.7486336168689754,0.6263885369655026,0.8438836291269332
chinad,0.9707834069378534,0.9735763222271056,0.9789425607888608,0.9840953532284088,0.9849857915545982,0.9821668895352392,0.9869717141287562
conficker,0.8785953603222687,0.9026877699587608,0.8644171798039962,0.914707729564608,0.9015042441754132,0.9197831481722816,0.9296635961138134
corebot,0.9711197226939292,0.973912955890472,0.9789425607888608,0.9840953532284088,0.9849857915545982,0.9821668895352392,0.9869717141287562
cryptolocker,0.9530042920097318,0.9613329831244232,0.9694564499341176,0.9813954126461154,0.9765001635134006,0.978116598073432,0.9866353983726802
deception,0.9657071585565784,0.970535159390844,0.8260436030272952,0.9348225851455504,0.9849857915545982,0.9821668895352392,0.9866352098900968
dircrypt,0.958170384769012,0.9616900132237246,0.954540848481978,0.976961275881252,0.9744235102091964,0.9712748678556627,0.9825825697888512
dnschanger,0.9406266335848076,0.95339630433559,0.9576957102554488,0.9738905057567504,0.9675545221976808,0.961936278496569,0.9798700289824086
dyre,0.9711197226939292,0.973912955890472,0.9789425607888608,0.9840953532284088,0.9849857915545982,0.9821668895352392,0.9869717141287562
emotet,0.9711197226939292,0.973576640134396,0.9789425607888608,0.9840953532284088,0.9849857915545982,0.9821668895352392,0.9869717141287562
fobber,0.9701103169985676,0.9698770580221672,0.9789425607888608,0.9840953532284088,0.98431278307728,0.9821668895352392,0.9869717141287562
gameover,0.9711197226939292,0.973912955890472,0.9789425607888608,0.9840953532284088,0.9849857915545982,0.9821668895352392,0.9869717141287562
gozi,0.403405791033619,0.5517151291899453,0.4492997238006444,0.4378747635780062,0.6884911065386883,0.6087226210204462,0.8484708138828729
kraken,0.6672306171985769,0.8897388128120499,0.976916150304675,0.9820771009685804,0.9849857915545982,0.925309484867337,0.9869717141287562
locky,0.946360102981442,0.9568502578166608,0.9583889623423266,0.968029223779734,0.9744842154476347,0.9688964783538778,0.9798631086230248
manuelita,0.1195388799578765,0.1382881324278369,0.0939142184392575,0.1374152708367919,0.0983852739601098,0.119984406469533,0.1629400650117103
matsnu,0.8215141631635843,0.9258127800334374,0.7930222491172396,0.8711415287500741,0.9435340156077706,0.7794939725615244,0.9709250253596334
monerominer,0.9707832184552702,0.973912955890472,0.9765871971967386,0.9840953532284088,0.9849857915545982,0.9772853882530096,0.9869717141287562
murofet,0.9711197226939292,0.9728965721275952,0.9786060565502016,0.9840953532284088,0.98431278307728,0.9821668895352392,0.9869717141287562
murofetweekly,0.9711197226939292,0.973912955890472,0.9789425607888608,0.9840953532284088,0.9849857915545982,0.9821668895352392,0.9869717141287562
mydoom,0.931658018500314,0.9463546918092428,0.9673399626421576,0.9694602263307496,0.9833031409365952,0.9636993213796148,0.9869717141287562
necurs,0.94414911212083,0.9554726032661928,0.9517493540044362,0.9646065726715664,0.9734147040263552,0.9654517226812764,0.9825684503413424
nymaim,0.248950227616998,0.5896027022041351,0.4722686031414484,0.3204858387663654,0.8052393718235372,0.5020153350028685,0.8828416107484555
oderoor,0.914462158173905,0.9495821153551588,0.9453999892883572,0.9663130301556933,0.9778636834021054,0.9713249751691038,0.9869717141287562
padcrypt,0.9571243549434424,0.9688494825646892,0.973520726328056,0.9834229442292672,0.984649091217898,0.9794752581497808,0.9856253716513712
pitou,0.8835665281022229,0.9722313372940098,0.9616047668661992,0.8921337602094774,0.957940248246092,0.9430519888941836,0.9849456882251948
proslikefan,0.9131250578438952,0.9341260181321008,0.9262960953161422,0.9425840935972452,0.950503984055909,0.948799765613596,0.9705551821981712
pushdo,0.8913530494175267,0.90977197983373,0.8919541375988408,0.8915164504613399,0.9633930854575208,0.9608598715621248,0.9709289133181996
pykspa,0.9287802842816788,0.9347243188891164,0.9364542486791476,0.9623734536187258,0.95588232869834,0.9528097213498088,0.9743324746916758
qadars,0.955398705722746,0.9661278492608693,0.9752222212824244,0.9834225811964136,0.9826305018089856,0.9801487695372942,0.9856253049780372
qakbot,0.9657134607746196,0.9688481627388844,0.9742259614051518,0.9827420806462488,0.981270110639467,0.9787870690401844,0.9862983801286894
qsnatch,0.2913115491097135,0.8637797031066082,0.7318973383973316,0.5297035956139943,0.8838105815354228,0.7934638251604653,0.9024453264768848
ramdo,0.969775732272269,0.9729039347757348,0.9786059271254944,0.9837588489897496,0.9849857915545982,0.9821668895352392,0.9869717141287562
ramnit,0.951595508715418,0.9606627395294473,0.951701188624409,0.9763350758540535,0.9695943237008622,0.9716827386907736,0.9819094162673658
ranbyus,0.9707836509986344,0.97154502898216,0.9786062450327848,0.9840953532284088,0.9846494757985222,0.9821668895352392,0.9866350804653898
rovnix,0.8899092099792075,0.9403583037048208,0.9122544162475648,0.8910376282403646,0.967901845984961,0.9549832374040474,0.9822254828713262
shiotob,0.962983292803575,0.9681340664483248,0.9728394968116144,0.9817330231061904,0.9792384684880064,0.9791382662318422,0.984952414616471
simda,0.9215830605109986,0.9609649704050136,0.9775975202775674,0.9715177085390692,0.980926832717538,0.9747194816413616,0.9819027644681212
sisron,0.9711197226939292,0.971856752179214,0.9775827542199684,0.9840953532284088,0.9849857915545982,0.9821668895352392,0.9869717141287562
sphinx,0.9694387954902456,0.9702130692720662,0.977932918648176,0.9834222153263834,0.9826296775118214,0.98183038529658,0.9869717141287562
suppobox,0.2345275877104627,0.1543139536802705,0.751200825567322,0.6826729552479441,0.978894559655696,0.0395242474984282,0.9822050246189966
symmi,0.9711197226939292,0.973912955890472,0.9789425607888608,0.9837587195650423,0.9849857915545982,0.9821668895352392,0.9869717141287562
tempedreve,0.94215837278479,0.9575149001720998,0.9621906377600272,0.9762644002916698,0.9761395613300342,0.9695791075157928,0.9822309918532256
tinba,0.9633236567755312,0.9685249552146376,0.9748915337411868,0.981739043087591,0.9805833788326832,0.9818301891985388,0.9859618758900304
tinynuke,0.9711197226939292,0.973912955890472,0.9789425607888608,0.9840953532284088,0.9849857915545982,0.9821668895352392,0.9869717141287562
vawtrak,0.853373154896265,0.8124916881696957,0.9724856555428636,0.9652424469926334,0.9836397042331304,0.8314635201036573,0.9842728130945446
vidro,0.936421453686114,0.9512937972590896,0.9453548028797714,0.9732377550074108,0.9648294833961476,0.9658278750232316,0.9774658734606756
virut,0.6676282727040619,0.7587503685196159,0.8009196055708737,0.7502287576919747,0.8691219391789947,0.7029457414873052,0.9113727005176996
zeus-newgoz,0.9711197226939292,0.973912955890472,0.9789425607888608,0.9840953532284088,0.9849857915545982,0.9821668895352392,0.9869717141287562
zloader,0.9704394505850858,0.9732408924577136,0.9789425607888608,0.9800444450132608,0.9843125869792388,0.98183038529658,0.9862919755666646
