Model,Family,Accuracy,Acc_std,F1,F1_std,Precision,Pre_std,Recall,Rec_std,FPR,FPR_std
BiLSTM,bigviktor,0.5163333333333333,0.0282233158143325,0.172145904084236,0.0740824836214239,0.5851563251563251,0.1848726730967661,0.1026666666666666,0.0478144562054429,0.06999999999986,0.0321455025365788
Bilbo,bigviktor,0.5173333333333334,0.0236549266656135,0.1598334791284632,0.0509780047224275,0.6297608872608874,0.1562468676151177,0.0926666666666666,0.0316157485370116,0.057999999999884,0.0343899210040083
CNN,bigviktor,0.5393333333333333,0.0255516905289824,0.209825319263439,0.0722780472384553,0.7352374939874939,0.1608864450998448,0.1246666666666666,0.0480786392856074,0.045999999999908,0.028821288428232
Logit,bigviktor,0.572,0.0282134719593317,0.2991047930789359,0.0756781917601081,0.8341400647283002,0.1213941440717049,0.186,0.0558927544499284,0.041999999999916,0.034775470281917
BiLSTM,gozi_rfc4343,0.6113333333333333,0.0315946549628607,0.4270350472827172,0.0650313473472684,0.8115298412744233,0.0876286288551782,0.2926666666666666,0.0562099239952835,0.06999999999986,0.0321455025365788
Bilbo,gozi_rfc4343,0.7756666666666666,0.0344173728741104,0.7297914823379519,0.0473503096108404,0.9145350798011548,0.0470558997070257,0.6093333333333334,0.0557932692077538,0.057999999999884,0.0343899210040083
CNN,gozi_rfc4343,0.6996666666666668,0.0411892650523841,0.5932304870469717,0.076363556557044,0.9078868221664764,0.0560270444800004,0.4453333333333333,0.0804874041215283,0.045999999999908,0.028821288428232
Logit,gozi_rfc4343,0.8320000000000001,0.0290287214094363,0.8068784420165148,0.0385925233989679,0.9460634725212276,0.0428059655284907,0.7059999999999997,0.0539505946831605,0.041999999999916,0.034775470281917
BiLSTM,ngioweb,0.5290000000000001,0.0289078997276984,0.2113571830858837,0.0681998951932741,0.645805860805861,0.151924510318172,0.128,0.0460724067817893,0.06999999999986,0.0321455025365788
Bilbo,ngioweb,0.5396666666666667,0.0338115693546191,0.2264521010510241,0.0809523426178169,0.7026087338587338,0.1470056528583073,0.1373333333333333,0.0548290271865389,0.057999999999884,0.0343899210040083
CNN,ngioweb,0.6076666666666667,0.0275297818532746,0.3977969503461135,0.0599772329002376,0.854755851733406,0.0877861300022615,0.2613333333333333,0.0475908487935326,0.045999999999908,0.028821288428232
Logit,ngioweb,0.8476666666666667,0.0317997204739636,0.827829136325019,0.0400643891622416,0.9479367722084806,0.0408441133572025,0.7373333333333334,0.0572091678744665,0.041999999999916,0.034775470281917
BiLSTM,pizd,0.4776666666666667,0.0189179514982169,0.0457074197070088,0.0342288499418076,0.2622222222222222,0.212138254927841,0.0253333333333333,0.0192757763930679,0.06999999999986,0.0321455025365788
Bilbo,pizd,0.4756666666666666,0.0185622077231011,0.0172830293583399,0.0227089814462702,0.1525793650793651,0.2324554434612349,0.0093333333333333,0.0123648246606609,0.057999999999884,0.0343899210040083
CNN,pizd,0.5843333333333334,0.0313776282653032,0.3377105504150871,0.0712326488161196,0.8257817563699916,0.1060808927721636,0.2146666666666666,0.0551200709562516,0.045999999999908,0.028821288428232
Logit,pizd,0.5283333333333333,0.0236760544761063,0.171850481349768,0.0494481635836145,0.729137159137159,0.1868436359979526,0.0986666666666667,0.0313829394558395,0.041999999999916,0.034775470281917
BiLSTM,MEAN_WORD_BASED,0.5335833333333333,0.026910955500777125,0.21406138853996143,0.0603856440259435,0.5761785623647079,0.15914101679948933,0.1371666666666666,0.0423431408438959,0.06999999999986,0.0321455025365788
Bilbo,MEAN_WORD_BASED,0.5770833333333334,0.027611519154361025,0.2833400229689448,0.05049740959933875,0.5998710165000353,0.1456909659104214,0.21216666666666664,0.0386507173979913,0.057999999999884,0.0343899210040083
CNN,MEAN_WORD_BASED,0.60775,0.03141209142498608,0.3846408267679028,0.06996287137796411,0.830915481064342,0.10269512808856757,0.26149999999999995,0.057819240789229974,0.045999999999908,0.028821288428232
Logit,MEAN_WORD_BASED,0.6950000000000001,0.028179492079709476,0.5264157131925594,0.05094581697623302,0.8643193671487919,0.09797196473883768,0.43199999999999994,0.04960886411584872,0.041999999999916,0.034775470281917
